,Alcoholic Beverages,Animal fats,Animal Products,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Confirmed,Deaths,Recovered
0,9.108297659167501e-05,0.1448815410731419,0.3059958484773774,0.0,0.8108252440054387,0.1112373661862329,9.130648161886391e-05,0.25156089083419153,0.10826721269516251,0.3609430369066846,0.0198722498225692,0.16783616187989556,0.004948012986479268,0.08476376370629772,0.08662843344400845,0.00742050515662223,0.23754009858383537,0.10495443035269733,0.0,0.10173074382349055,0.20984320970110368,0.32030364646875426,0.013626460267069571,0.03335951842076515,0.013647751816696259
1,0.10877259183115817,0.0994169311388294,0.6771793505491621,0.0,0.09015229272320294,0.3334728784163627,0.020361345401006654,0.3286184775145898,0.19561044279498335,0.7533206373695248,0.03065458317410056,0.189621409921671,0.07626679817531748,0.06831620644124231,0.0012073649260488984,0.04180045277658583,0.07925827400046945,0.1250200335495176,0.0,0.2001585414189457,0.11112690066789824,0.59201843567846,0.28507123039726456,0.27477757305909156,0.1983032261230991
2,0.017637567824287926,0.02007528230865746,0.31392112107017023,0.0,0.38935579534221354,0.3012977692721727,0.023671205359690473,0.30684110024030203,0.09911696954184798,0.36268350890726314,0.0456133646339466,0.07098563968668407,0.02790449184235401,0.1372926115161605,0.08406278297615455,0.12778361422251158,0.1700962366012049,0.1568065987840971,0.0,0.1521997621878716,0.4450286580455686,0.5851375898061543,0.023500018689654754,0.03536770968086154,0.018537011336468838
3,0.377909775805759,0.04059340172706472,0.12680038493045007,0.0,0.2161526487420037,0.02081215238323067,0.1981921316639465,0.2864797888774459,0.217699001791656,0.03542656027770412,0.03180105912540263,0.12646866840731072,0.033600460280277814,0.18677880475343014,0.0013582855418050105,0.6447849311217317,0.03646037086299976,0.15844133642473263,0.0,0.008059188796406396,0.26280138316517454,0.07846550088111698,0.0058970607307965986,0.007876653585667196,0.006284126952579672
4,0.23267796963033321,0.005683076241789061,0.5933893762377026,0.0,0.09826876389514866,0.12170324741343222,0.46962347489642425,0.5409747253690355,0.682467366265677,0.3022925053636429,0.19487361467489214,0.1810541775456919,0.01704680886039535,0.05281589069406969,0.23000301841231513,0.0285796724028232,0.11908301384868165,0.37484640945369846,0.0,0.03342581582771833,0.3404386338875468,0.24901721567032667,0.02820610957030572,0.03852098164106385,0.021108301042548308
5,0.2776209126514254,0.16414495534725806,0.7001240684921702,0.0,0.18970499676174382,0.5825010465881229,0.04965931269045962,0.28878625986955025,0.8556565139493216,0.48870621700455597,0.0,0.308338772845953,0.00014794723215386509,0.015155864286124346,0.0184123151222457,0.0873888403888552,0.339253579532118,0.28709412028677356,0.0,0.02642356982428326,0.4086021505376344,0.1894157516605666,0.4185129520925886,0.5836594688387794,0.43199641812949363
6,0.026114790574213106,0.13454867517897998,0.4702235618791605,0.0,0.14758873011123688,0.33155911727767484,0.029149594256822307,0.29175785272914523,0.24462503199385718,0.47462333968131515,0.06428454441229457,0.24804177545691905,0.006583651830846998,0.041362879614214365,0.008300633866586176,0.05017164079724191,0.14247711446678663,0.24481531738484721,0.0,0.14638657682652925,0.179527260669793,0.8591514165649992,0.5458276639746579,0.5681193219295783,0.5971777456812937
7,0.3606625635954354,0.2312347774743523,0.7825222488209518,0.001964987495534119,0.07940355488560052,0.25052329406136004,0.15889610463722792,0.18927544627531756,0.8125031993857179,0.5788154183641492,0.14448326691052027,0.34595300261096606,0.02955656926807217,0.01567254147769677,0.06912164201629943,0.0780077830223577,0.22580392770518737,0.2318335772974475,0.0,0.4196062888096182,0.5628819099047889,0.23226785956350818,0.010733569749789746,0.019034635876530745,0.011204708103616293
8,0.45681365724174716,0.6306738504686692,0.7088724878118613,0.0006549958318447064,0.10643447170976134,0.4572094970396508,0.08240409966102469,0.21172867318915212,0.5534937292039929,0.592112431598486,0.00013648523229786537,0.0858355091383812,0.021246866395430077,0.013089155519834663,0.07455478418351946,0.08786233224331563,0.3179719896721696,0.23963330590963003,0.0,0.31272294887039237,0.3407702145800767,0.23059780398535987,0.45539216039279806,0.4836340791273645,0.49744845934727533
9,0.23401168464471134,0.1870248726843309,0.39377828324200514,0.0,0.366941760626593,0.32019616051671557,0.019151534519556708,0.2220219704771713,0.229754287176862,0.39654316225923864,0.003958071736638096,0.12516318537859009,0.0003863066617350925,0.009960388081979448,0.006640507093268941,0.1488724975215661,0.04264142085908771,0.12668682486938126,0.0,0.25181662042541947,0.06252664487707829,0.4998508878948082,0.21956661329318808,0.168382573489194,0.24619529512368313
