,Unnamed: 0,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Confirmed,Deaths,Recovered,Vegetables
0,0,3.0360992197225e-05,0.2092116679016086,0.09404750988441474,0.0,0.9321826767149153,0.10210734081938329,3.0435493872954637e-05,0.17271792570138542,0.09961091589686932,0.3077221395465662,0.02050963193209325,0.1642899480045876,0.014672365560938969,0.07309803047381057,0.08603576526693811,0.004887249729809366,0.16176395126588983,0.0,0.09313570558498996,0.0877010461811234,0.8394723618347064,0.11821924484446783,0.0136264602670695,0.0333595184207651,0.013647751816696202,0.2597020634469908
1,1,0.14010191116972406,0.7068955966673959,0.10256201106192964,0.0,0.19071653408392805,0.46227860252836644,0.028297054176369,0.34149161879184026,0.28851888795286834,0.9177735457898416,0.0401961800999922,0.2788476520799416,0.07452936623657626,0.08501642929428938,0.0004024549753496,0.05382108925983183,0.10027331635199184,0.0,0.1485013704622898,0.2070742864327888,0.2781540772477952,0.1284357048063168,0.2850712303972645,0.2747775730590915,0.1983032261230991,0.6110966143433698
2,2,0.01955211453817793,0.27554624622583024,0.01682131189661847,0.0,0.5390361084590122,0.31159087550879133,0.027458721799983068,0.29852870607627885,0.10437136534892906,0.4124941253317396,0.0670039416639535,0.07974270642251204,0.024465101317505233,0.14039742161909818,0.09248696299525133,0.11160757051926584,0.1396955620167144,0.0,0.17658589855531048,0.15165783161794433,0.7436230247276869,0.39773533708499037,0.023500018689654695,0.0353677096808615,0.0185370113364688,0.5955024553344377
3,3,0.40464603964577667,0.2064052598032561,0.034244308949586466,0.0,0.33053628838701554,0.0253927077268358,0.22875633225687028,0.2667475886037564,0.26487555916705313,0.043158715697277604,0.0438568821257194,0.16540870689989465,0.13372546005123523,0.20290107604881857,0.00045276184726833333,0.5826917737019771,0.030827381875966967,0.0,0.13732419255550168,0.004307855931659567,0.7539117041903549,0.23247157960552065,0.0058970607307965,0.0078766535856671,0.0062841269525796,0.10569498084023135
4,4,0.26393532526001634,0.725172297727989,0.11163658234573774,0.0,0.12033266701168531,0.1259729502240865,0.4377131470910524,0.4027736389449448,0.6896131895242523,0.4033395023380206,0.22795617800230816,0.21004542538416646,0.055470861517428534,0.0537010715208695,0.2337981160946926,0.029236407917908467,0.17314969311629477,0.0,0.31821645133737575,0.04343689379615593,0.20866789812583286,0.3722985770099059,0.0282061095703057,0.0385209816410638,0.021108301042548305,0.27163116737722603
5,5,0.22689440756592796,0.7417409962048054,0.10352068626427186,0.0,0.22403012161659083,0.5820078706019934,0.049406484868820995,0.18030057515684994,0.9154828586009947,0.3807503293501407,0.0,0.34816030702376205,0.0004634221184225333,0.014940743427519936,0.0198105272966153,0.08442612648652241,0.27539502044393926,0.0,0.3387293421623942,0.027388310666660667,0.23672579321346673,0.2987339570713121,0.4185129520925886,0.5836594688387794,0.4319964181294936,0.18552868744226325
6,6,0.0334315408793348,0.533599290034709,0.16938608780176975,0.0,0.2933216026848712,0.4385957834763234,0.03834194707775107,0.26525416569862686,0.33036381177880725,0.54641119701291,0.08023058213678505,0.35092364268606197,0.01930435681161523,0.04990577380771904,0.009951645212143867,0.0573624156148787,0.23351444718657824,0.0,0.2587173616757673,0.16010089304194497,0.4345342484370429,0.21319822138389385,0.5458276639746579,0.5681193219295783,0.5971777456812937,0.8894550908849734
7,7,0.3191902960255461,0.7899575869594472,0.18353503063709953,0.0020854775310081668,0.09480530399525289,0.28746164750748776,0.15022967672683882,0.1543774017785742,0.7924043777153535,0.5198090478142687,0.16165120882321815,0.42091008115031453,0.05894839266023969,0.0161142810462143,0.07347009955279127,0.0700413841227062,0.2498654337733087,0.0,0.26968498676432023,0.4743822981843417,0.2062088339311865,0.5863056303934004,0.0107335697497897,0.0190346358765307,0.0112047081036162,0.24792376929928445
8,8,0.4843547407978879,0.7336609578193359,0.5494481672118358,0.00021833194394823335,0.1385822996222833,0.5299416180693091,0.09088559847504873,0.16714270286429356,0.5418397218629879,0.5616578165058571,6.82426161489e-05,0.12427686177996289,0.0902936909115269,0.013529008780169235,0.07846399955899297,0.07743524416317624,0.25903739151590965,0.0,0.2992879215083072,0.2654538412862428,0.25382005366840105,0.5233147106007441,0.455392160392798,0.4836340791273645,0.4974484593472753,0.25460177432223113
9,9,0.3083349237747841,0.3628663717996094,0.13836348961681694,0.0,0.594715032933747,0.3591507604767428,0.02149901712674877,0.16665374115142295,0.2565085040115474,0.37128085382475295,0.01559771291112055,0.1499764875987439,0.002934463191466967,0.010136456295460667,0.008546756181505466,0.13274311145063658,0.09337458756766774,0.0,0.14507429593963325,0.24987375246888124,0.6522267222296068,0.094298978094786,0.21956661329318802,0.16838257348919403,0.2461952951236831,0.4286334067400035
