algorithm,selected_features,number_of_features,neg_mae_score_cv
rfe - measure shap food,Animal fats,7,-0.016
rfe - measure shap food,Milk - Excluding Butter,7,-0.016
rfe - measure shap food,Eggs,7,-0.016
rfe - measure shap food,"Fish, Seafood",7,-0.016
rfe - measure shap food,Fruits - Excluding Wine,7,-0.016
rfe - measure shap food,Animal Products,7,-0.016
rfe - measure shap food,Alcoholic Beverages,7,-0.016
