,Obesity,Population,Max Latitude,Max Longitude,Annual Average Temperature,Country
0,0.0374707259953161,0.0277209874131,0.6029191945836629,0.7009162303664921,0.6897746830182847,Afghanistan
1,0.4543325526932085,0.0019852659607467,0.6396729095225534,0.5476895060323241,0.6716819136299681,Albania
2,0.5550351288056207,0.0315923986562373,0.5907851930009672,0.5218814022308217,0.8886632905360936,Algeria
3,0.0913348946135831,0.0231528790278472,0.2260617251384859,0.556282722513089,0.8568033619670946,Angola
4,0.3793911007025761,3.137632983938885e-05,0.4205574606524224,0.3123435010243569,0.9525211287561764,Antigua and Barbuda
5,0.5995316159250585,0.0323197590297868,0.0730677921392772,0.3351354427498293,0.6966971100861754,Argentina
6,0.4215456674473067,0.0020694115725887,0.6277147630352589,0.6204188481675392,0.5646741994236066,Armenia
7,0.6440281030444964,0.0183266290198248,0.1834168645036489,0.9658547689506032,0.8487654803571196,Australia
8,0.4449648711943793,0.0063180518722042,0.6955948298601952,0.536620760300478,0.5338845913978789,Austria
9,0.3981264637002341,0.0071694913683003,0.6258682845335444,0.6318859549282949,0.639296979939066,Azerbaijan
10,0.6838407494145199,0.0002417403594443,0.5040886309680823,0.2809298884589119,0.9195140067723566,Bahamas
11,0.0117096018735363,0.1210520198155785,0.4987250505583399,0.7514227179603915,0.9160098192238276,Bangladesh
12,0.5128805620608899,0.0001661519284676,0.3819572672118174,0.318717277486911,0.9511119808361042,Barbados
13,0.5550351288056207,0.0066467902371123,0.7584630264661918,0.5809241975870703,0.533823499306629,Belarus
14,0.5058548009367682,0.0081728208247553,0.7174887892376682,0.5059469610744366,0.5960207287561119,Belgium
15,0.4566744730679157,0.0002602809179858,0.4272399542776752,0.2380491691327111,0.9216776823175794,Belize
16,0.1241217798594847,0.0086677111181311,0.3736920777279521,0.4987480081948554,0.9670442824169708,Benin
17,0.3864168618266979,0.0023011685543569,0.6627978545678361,0.5436489870248121,0.6156959283813708,Bosnia and Herzegovina
18,0.3091334894613583,0.0016137416915122,0.1083267387672557,0.5713350785340314,0.8495683819574261,Botswana
19,0.4543325526932085,0.1510042921393023,0.3109997362173569,0.4056453448668336,0.9211729874951422,Brazil
20,0.5737704918032787,0.0049011253405936,0.6535654620592631,0.5692010015934441,0.6265994965302433,Bulgaria
21,0.0374707259953161,0.0148673886550322,0.3972566605117384,0.4946221261097199,0.9881468447546796,Burkina Faso
22,0.1803278688524589,0.0003579753995312,0.4134353292886661,0.4233155019348964,0.9070458846739288,Cabo Verde
23,0.0140515222482435,0.01101237867522,0.3939154136991119,0.7940188936945141,0.9602056756325894,Cambodia
24,0.1545667447306791,0.0189284840740167,0.3796711509715994,0.5339460505349419,0.9081872912653304,Cameroon
25,0.6651053864168618,0.0271947207898848,0.9743251560713972,0.3380946961074436,0.2936131039473067,Canada
26,0.0796252927400468,0.0034057579843845,0.3613822210498549,0.5659002959253358,0.9241073421893762,Central African Republic
27,0.0444964871194379,0.0119964544747281,0.4707640903895191,0.5560550876394263,0.9501482087686012,Chad
28,0.6065573770491803,0.0138455186400357,0.1107007825551745,0.2988276804006373,0.5819793805326424,Chile
29,0.0866510538641686,1.0,0.735689791611712,0.871300933302982,0.5360787485115854,China
30,0.449648711943794,0.0352199302447139,0.3840675283566341,0.2975187798770771,0.9134995629255795,Colombia
31,0.1288056206088993,0.0038963696873277,0.2971951112283478,0.5408889141816526,0.9055708088770196,Congo
32,0.5339578454332552,0.0036061386363133,0.3632286995515695,0.2529023446391987,0.9328881616583782,Costa Rica
33,0.566744730679157,0.0028281482759776,0.6739646531258243,0.5430514454814477,0.632236088210532,Croatia
34,0.5573770491803278,0.0080059557978822,0.4692693220786072,0.2768893694514,0.9264686562915424,Cuba
35,0.4613583138173303,0.000822202461473,0.5725841906269235,0.5848508991577509,0.8016107679404826,Cyprus
36,0.5995316159250585,0.0076030551988082,0.7134441220434362,0.5414295470066014,0.5625532238651179,Czechia
37,0.4309133489461359,0.0041181432914197,1.0,0.5309298884589119,0.0,Denmark
38,0.2177985948477752,0.0006660339106815,0.3764178317066737,0.6113703619394489,0.9970450126205944,Djibouti
39,0.5925058548009368,1.2835771297931802e-05,0.4020926756352765,0.3135385841110858,0.9443069021651264,Dominica
40,0.5620608899297423,0.007449025943233,0.4399894486942759,0.2933928977919417,0.9319463118188696,Dominican Republic
41,0.3840749414519906,0.0124485588637775,0.2792578914974061,0.2737593899385385,0.8445494812894592,Ecuador
42,0.6604215456674474,0.0718439512497406,0.54304053459949,0.5928181197359434,0.8801977642873688,Egypt
43,0.4637002341920374,0.004583083451767,0.3917172250065945,0.2383052583655816,0.9249025065327436,El Salvador
44,0.4894613583138173,0.0009106266637477,0.7893255957091357,0.5680343728659231,0.5105511199760017,Estonia
45,0.0163934426229508,0.0819079090457245,0.3954981095577245,0.6243455497382199,0.8777777759867462,Ethiopia
46,0.6346604215456674,0.000600428857381,0.1549283390486239,1.0,0.920278850740093,Fiji
47,0.5152224824355971,0.0039042137697875,0.8808581728655588,0.5776519462781697,0.4317147582856754,Finland
48,0.4754098360655738,0.0462701031354223,0.7138837597819397,0.9753585249260186,0.6699392576972409,France
49,0.6400093428992722,0.0001611602396295,0.1958146487294469,0.1040291372638288,0.9383331433944218,French Polynesia
50,0.2459016393442622,0.0015524152286443,0.285061109645652,0.5290803551104029,0.9094778012456658,Gabon
51,0.1358313817330209,0.0016850515320562,0.3861777895014508,0.4484976098338265,0.9746933668657451,Gambia
52,0.4777517564402809,0.0026106532623182,0.6478501714587179,0.6206749374004097,0.572958867291375,Georgia
