,Neoplasms,Mental and behavioural disorders,External causes of morbidity and mortality,Diseases of the musculoskeletal system and connective tissue,Country,"Fish, Seafood",Alcoholic Beverages,Eggs,Milk - Excluding Butter,Obesity,Population,Max Latitude,Max Longitude,Annual Average Temperature
0,40949.88333333333,567.6500000000001,8502.416666666668,298.6,Egypt,0.158427734502682,0.0035111844376557,0.1640490683319594,0.1380279835932864,0.6604215456674474,0.0718439512497406,0.54304053459949,0.5928181197359434,0.8801977642873688
1,1515.15,87.33333333333333,208.4333333333333,49.83333333333334,Mauritius,0.1821112403509543,0.1215677617907954,0.2609842015264957,0.1560950232081863,0.2014051522248244,0.0008635621689886,0.1739206893519739,0.6684782608695652,0.8878578098501406
2,6450.666666666666,207.83333333333331,974.5,140.5,Morocco,0.1467526602278054,0.0119633294174164,0.2802445183423463,0.1298475713690144,0.531615925058548,0.0255988065585086,0.5805855974676866,0.4848907352606419,0.7990405479009548
3,50640.5,1926.5,5989.0,1612.6666666666663,South Africa,0.0417297670520755,0.2837286030031186,0.3184006352816848,0.1738317438844282,0.5644028103044496,0.0424821244057216,0.0700782555174536,0.5958911905303892,0.7584388085333563
4,3559.0,104.0,298.0,50.0,Tunisia,0.0733010297146091,0.0311085144601555,0.2615232254940444,0.2705407191577998,0.5714285714285714,0.0084445113172282,0.5930713092411852,0.5207147735033006,0.8136812111515149
5,164.83333333333334,11.5,1.0,11.0,Antigua and Barbuda,0.3468606801363571,0.226478029017947,0.1183206907609108,0.3788169086984538,0.3793911007025761,3.137632983938885e-05,0.4205574606524224,0.3123435010243569,0.9525211287561764
6,66165.93333333333,2732.766666666667,5085.449999999999,1210.35,Argentina,0.0376072992398332,0.1853131484151227,0.5483267338812601,0.373834395057139,0.5995316159250585,0.0323197590297868,0.0730677921392772,0.3351354427498293,0.6966971100861754
7,448.0,11.5,75.0,28.5,Bahamas,0.2436619611963237,0.2321224673681369,0.3967753906268843,0.2247360774280612,0.6838407494145199,0.0002417403594443,0.5040886309680823,0.2809298884589119,0.9195140067723566
8,576.0,51.0,16.0,17.0,Barbados,0.3011884726837051,0.1498551106170361,0.4029450008129299,0.2396546040195009,0.5128805620608899,0.0001661519284676,0.3819572672118174,0.318717277486911,0.9511119808361042
9,293.5,11.75,155.25,11.5,Belize,0.081764287214458,0.1715408680612804,0.2023308393903698,0.1611102436746508,0.4566744730679157,0.0002602809179858,0.4272399542776752,0.2380491691327111,0.9216776823175794
10,218950.68333333332,12881.216666666667,39612.566666666666,5725.45,Brazil,0.0453634624884623,0.1871300108970696,0.2694332120708018,0.3660494291848697,0.4543325526932085,0.1510042921393023,0.3109997362173569,0.4056453448668336,0.9211729874951422
11,80281.03333333333,19661.1,2304.2666666666664,1883.85,Canada,0.101048960124422,0.2068337535765502,0.4470921440827238,0.2943461720147744,0.6651053864168618,0.0271947207898848,0.9743251560713972,0.3380946961074436,0.2936131039473067
12,27640.75,1991.9,2217.083333333333,692.4333333333334,Chile,0.0818892218926721,0.2107962495739747,0.4327529242027765,0.2843646411500384,0.6065573770491803,0.0138455186400357,0.1107007825551745,0.2988276804006373,0.5819793805326424
13,43785.75,558.4166666666667,7266.116666666667,2217.766666666667,Colombia,0.0483815433266958,0.1309986560720065,0.5051383051379869,0.3386175133634073,0.449648711943794,0.0352199302447139,0.3840675283566341,0.2975187798770771,0.9134995629255795
14,5158.383333333334,338.95,788.1833333333334,249.6833333333333,Costa Rica,0.1406334115740091,0.1150972957713735,0.4022615004452235,0.4837188858038811,0.5339578454332552,0.0036061386363133,0.3632286995515695,0.2529023446391987,0.9328881616583782
15,25265.216666666664,5054.9,1137.65,762.8666666666667,Cuba,0.0323624183571044,0.10815116518098,0.3525542559396024,0.2381549670458607,0.5573770491803278,0.0080059557978822,0.4692693220786072,0.2768893694514,0.9264686562915424
16,186.33333333333331,7.0,20.5,7.0,Dominica,0.1958466145214924,0.1126110062013964,0.0828356528160887,0.3317984810532773,0.5925058548009368,1.2835771297931802e-05,0.4020926756352765,0.3135385841110858,0.9443069021651264
17,5103.0,55.0,2339.0,85.0,Dominican Republic,0.0533199328401367,0.1723137448618089,0.3766472538610507,0.2688598922718014,0.5620608899297423,0.007449025943233,0.4399894486942759,0.2933928977919417,0.9319463118188696
18,11618.4,213.96666666666667,3300.333333333333,480.1166666666667,Ecuador,0.0531916602559766,0.1313574484247886,0.3549422928378972,0.3762891525712308,0.3840749414519906,0.0124485588637775,0.2792578914974061,0.2737593899385385,0.8445494812894592
19,4144.333333333333,550.1666666666667,978.6666666666666,125.83333333333334,El Salvador,0.0590023499258475,0.1052449200942589,0.4371517667276592,0.4020576050766338,0.4637002341920374,0.004583083451767,0.3917172250065945,0.2383052583655816,0.9249025065327436
20,262.1166666666667,18.7,9.5,11.166666666666668,Grenada,0.2336029135275627,0.1970394057954881,0.4884620574200055,0.2553654308651833,0.405152224824356,4.2072805920998685e-05,0.3748351358480612,0.3130548600045526,0.95747152246166
21,8917.85,580.0000000000001,1320.7666666666669,382.7833333333333,Guatemala,0.0219760075002644,0.0749960465441469,0.7686538147774139,0.1834493107873943,0.3723653395784543,0.0128443284787969,0.4213488085817286,0.2367971773275665,0.881739090346821
22,623.5,5.5,148.5,8.0,Guyana,0.1745519039966611,0.0775340293914698,0.0684587858688543,0.351066079242377,0.3817330210772833,0.000522701131188,0.3399278994108854,0.327111313453221,0.9420954974161592
23,555.0,24.0,111.0,33.0,Honduras,0.0232696908694891,0.0903870086757346,0.2223306874086017,0.3268215106350781,0.3864168618266979,0.0069954953573728,0.4178317066737009,0.2512804461643524,0.9122699838436404
24,3854.0,35.0,99.0,115.5,Jamaica,0.1832987413959941,0.1401822720650268,0.0771274911318877,0.2791702496091565,0.5035128805620609,0.0019645861069889,0.4275916644684779,0.2710277714545868,0.9445415989589524
25,88494.33333333333,4684.7,16426.516666666666,4833.25,Mexico,0.0856505991445498,0.172947900122785,0.7302668041758591,0.2897938853373241,0.5971896955503513,0.0910897641141784,0.552272927108063,0.2411222399271568,0.8148933814053406
26,3306.55,321.2333333333333,829.7833333333333,177.31666666666666,Nicaragua,0.0567614648340175,0.0803196544202334,0.2831069968761824,0.341730947934713,0.4426229508196722,0.0046650897683927,0.3968170227732348,0.2524186205326656,0.9395202803981916
27,3616.3666666666654,126.88333333333333,540.5666666666666,140.16666666666666,Panama,0.1156285100697146,0.2608849859310804,0.2602115924117862,0.296228895120348,0.4590163934426229,0.0030156931566085,0.3493361470148597,0.2682676986114272,0.943466120244388
28,4758.333333333333,340.83333333333337,1295.6666666666663,257.55,Paraguay,0.0278097993343475,0.2027494878977055,0.5100713446536506,0.2261538669297405,0.3770491803278688,0.0051350216175781,0.0950496790644508,0.3334566355565672,0.8821430396361942
29,21014.8,364.0,2416.2,745.5,Peru,0.2106802401309953,0.1841265815877722,0.4676660483913541,0.2259904848444039,0.3793911007025761,0.0233682347462902,0.2643981359359888,0.2923969952196676,0.8092769388316646
30,111.66666666666669,9.0,13.0,5.5,Saint Kitts and Nevis,0.2289902450518816,0.1965355751132818,0.1942253162636544,0.2148188049775709,0.4730679156908666,0.0,0.4178317066737009,0.3098679717732756,0.947247220994918
31,288.1666666666667,7.666666666666667,38.0,14.5,Saint Lucia,0.2698422024126781,0.3344315187571807,0.1625956579981163,0.2187834199132692,0.3957845433255269,9.127659589640392e-05,0.3887276883847709,0.3145913954017755,0.9550268716545433
