,Unnamed: 0,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Miscellaneous,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Confirmed,Deaths,Recovered,Vegetables,Country
0,0,3.0360992197225e-05,0.3266356636092026,0.22314672739610317,0.0,0.7339140045455789,0.13279156299261952,0.0006383454755164573,0.14811601418568116,0.1335378005517073,0.025585680222506377,0.3531242906258783,0.2502861728296822,0.01813290301710607,0.07458194977033815,0.09068317135594284,0.00864758187314839,0.10127787570185676,0.0,0.09313570558499,0.11358806749038308,0.663569015679251,0.24670805364106,0.013626460267069573,0.03335951842076515,0.013647751816696259,0.32030364646875426,Afghanistan
1,1,0.09520195997401888,0.741182573124077,0.15420042480316562,0.0,0.14694792971134543,0.4601127598577228,0.022934921282721815,0.27405837288325263,0.2834554960559547,0.0392216293847935,0.9177735457898416,0.30785058459684606,0.09576508859353731,0.07264951808211419,0.0004024549753496328,0.03657983581822796,0.11983004501757,0.0,0.14552201315222382,0.2214001550069672,0.22674257259554448,0.14920894494001738,0.28507123039726456,0.2747775730590916,0.1983032261230991,0.5920184356784599,Albania
2,2,0.011670220931540605,0.27401596135810685,0.034456841625728686,0.0,0.3786967722589356,0.31376473294231605,0.024192908908615317,0.23708813970005757,0.10312902011654823,0.07675290183867456,0.40225070493716436,0.09742630160851862,0.03056046352268788,0.12722130765750914,0.08013129436694298,0.08613913418423565,0.10990018171332099,0.0,0.17658589855531048,0.16085940531290918,0.7459760307707608,0.5561047648529905,0.023500018689654758,0.03536770968086154,0.01853701133646884,0.5851375898061543,Algeria
3,3,0.2512785433060988,0.19930099228577128,0.053595307572885276,0.0,0.28834488279705023,0.022780917264909262,0.1847758495580286,0.18919989401452172,0.2901816215519344,0.05174760496607561,0.04499687059688621,0.15857033603925563,0.09093734600591862,0.1689357512656607,0.001731423101349501,0.5340285527042933,0.03058229796004339,0.0,0.13079798130488102,0.004749799004166979,0.7645891297263971,0.39094561385342025,0.005897060730796599,0.007876653585667196,0.0062841269525796715,0.07846550088111698,Angola
4,4,0.22647802901794709,0.6566237638313641,0.17160385040307433,0.0,0.13100118561993732,0.11832069076091083,0.3468606801363572,0.3565052034301961,0.6213731566263377,0.2175996678898674,0.37881690869845386,0.19058402823666332,0.03924976057988639,0.04588791935546264,0.2167778053825142,0.02398150241734001,0.225525756200585,0.0,0.3182164513373758,0.0439802981783208,0.31147206932542726,0.3465390691544161,0.028206109570305716,0.03852098164106385,0.021108301042548308,0.2490172156703267,Antigua and Barbuda
5,5,0.1853131484151227,0.7138140579720781,0.17357847065781326,0.0,0.16119608438198482,0.5483267338812601,0.037607299239833344,0.15270945465599764,0.821974102480722,0.0,0.37383439505713906,0.2980392930779712,0.0004634221184225634,0.013133067774461412,0.017222899331898422,0.06340953489789927,0.1758758862304721,0.0,0.33525342530065066,0.028820077823982635,0.2787289876298146,0.4296763870249836,0.4185129520925886,0.5836594688387794,0.4319964181294936,0.1894157516605666,Argentina
6,6,0.023402258302468077,0.5951963617984397,0.2599067073488736,0.0,0.19854379166295733,0.438624631458695,0.03131969764034757,0.20626205616886795,0.3383895168700681,0.07987015787851741,0.5406081068458235,0.32967575189822723,0.0158411579872639,0.0427044055169331,0.008471043225345014,0.0400017364812199,0.3407226559233582,0.0,0.2550995706564015,0.18511114979576193,0.3422462451181407,0.23623989665719683,0.5458276639746579,0.5681193219295783,0.5971777456812937,0.8591514165649992,Armenia
7,7,0.24808243853408685,0.6860903324379599,0.2606959703592311,0.0006549958318447063,0.05781191883189368,0.2551231332079678,0.115781378044213,0.13369785483722285,0.6439508705408964,0.14577083438466684,0.4721079744870682,0.3670290752316742,0.04482235357783088,0.014433965215583206,0.06441668138649365,0.04813185034758383,0.23852921811620476,0.0,0.26968498676432023,0.44641134426379403,0.3620467295043246,0.6135468438735576,0.010733569749789748,0.019034635876530745,0.011204708103616292,0.23226785956350815,Australia
8,8,0.33428153435572106,0.7003349564191458,0.7214105458463861,0.00021833194394823543,0.07994076340160822,0.45124299947125834,0.07434410320895113,0.13259685264516377,0.4315100667622181,4.549507743262179e-05,0.42499000256282393,0.10804974363302426,0.04105375837403077,0.010622276630574792,0.06709937928229319,0.0543999043282871,0.2103789836349176,0.0,0.2894276675535651,0.2589539988949368,0.3039019118902705,0.4707854460188153,0.4553921603927981,0.4836340791273645,0.4974484593472753,0.2305978039853599,Austria
9,9,0.2237814830720023,0.5201511128106006,0.2918578428791254,0.0,0.4386129011295534,0.43350134732591994,0.0214191858995956,0.149313670171241,0.30696588056321017,0.02282265125887906,0.42059577893966177,0.16256449045401544,0.0025322334712554327,0.010030930303085632,0.008722100232715612,0.10674497279071819,0.19959420006610562,0.0,0.14507429593963328,0.34098101581283485,0.41629971692203294,0.05386479749787628,0.21956661329318808,0.16838257348919403,0.24619529512368313,0.4998508878948082,Azerbaijan
10,10,0.2321224673681369,0.6049480566033217,0.16333077738667445,0.0001786352268667381,0.0753951842408812,0.39677539062688444,0.24366196119632375,0.4203474041079287,0.7101371709870968,0.8304715639996353,0.22473607742806131,0.317888595683961,0.0808400146417845,0.012809814190756106,0.13843415800130673,0.015251706774073006,0.2006113603509059,0.0,0.5085946076142417,0.09236736994442397,0.2868897951035739,0.19998229595413441,0.20181345788114666,0.2415157729353232,0.19194017595753773,0.3745641859834621,Bahamas
