,Neoplasms,Mental and behavioural disorders,External causes of morbidity and mortality,Diseases of the musculoskeletal system and connective tissue,Country,"Fish, Seafood",Alcoholic Beverages,Eggs,Milk - Excluding Butter
0,0.0561193609446096,0.0039816315839865,0.2131449667379455,0.0187980022663365,Egypt,0.158427734502682,0.0035111844376557,0.1640490683319594,0.1380279835932864
1,0.0020764222706835,0.0006125766904515,0.0052251633438037,0.0031371972971838,Mauritius,0.1821112403509543,0.1215677617907954,0.2609842015264957,0.1560950232081863
2,0.0088402520723509,0.0014577922385364,0.0244294978979852,0.008845007764301,Morocco,0.1467526602278054,0.0119633294174164,0.2802445183423463,0.1298475713690144
3,0.0693997703188125,0.0135129274139876,0.1501367500369764,0.1015234817643849,South Africa,0.0417297670520755,0.2837286030031186,0.3184006352816848,0.1738317438844282
4,0.0048773962058955,0.000729480639011,0.0074704878128266,0.0031476895958366,Tunisia,0.0733010297146091,0.0311085144601555,0.2615232254940444,0.2705407191577998
5,0.0002258942047218,8.066372450602528e-05,2.506875104975395e-05,0.000692491711084,Antigua and Barbuda,0.3468606801363571,0.226478029017947,0.1183206907609108,0.3788169086984538
6,0.0906764462488166,0.0191682728294999,0.1274858800259712,0.0761961220464179,Argentina,0.0376072992398332,0.1853131484151227,0.5483267338812601,0.373834395057139
7,0.0006139571509528,8.066372450602528e-05,0.0018801563287315,0.0017941830696268,Bahamas,0.2436619611963237,0.2321224673681369,0.3967753906268843,0.2247360774280612
8,0.0007893734797965,0.0003577260825919,0.000401100016796,0.0010702144625844,Barbados,0.3011884726837051,0.1498551106170361,0.4029450008129299,0.2396546040195009
9,0.0004022241602782,8.241728373441714e-05,0.0038919236004743,0.0007239686070424,Belize,0.081764287214458,0.1715408680612804,0.2023308393903698,0.1611102436746508
10,0.3000587895948972,0.0903519054349931,0.9930375722084482,0.3604387879296595,Brazil,0.0453634624884623,0.1871300108970696,0.2694332120708018,0.3660494291848697
11,0.1100203448680456,0.1379076133813403,0.057765087418913,0.1185955009023376,Canada,0.101048960124422,0.2068337535765502,0.4470921440827238,0.2943461720147744
12,0.0378799913397323,0.0139716585081349,0.0555795101398919,0.0435913039828765,Chile,0.0818892218926721,0.2107962495739747,0.4327529242027765,0.2843646411500384
13,0.0600057462552097,0.0039168667964846,0.1821524698151346,0.1396168212532001,Colombia,0.0483815433266958,0.1309986560720065,0.5051383051379869,0.3386175133634073
14,0.0070692552117321,0.0023774756018536,0.0197587717648985,0.0157185126117429,Costa Rica,0.1406334115740091,0.1150972957713735,0.4022615004452235,0.4837188858038811
15,0.0346244652742706,0.0354562661743919,0.0285194646317525,0.0480253493935451,Cuba,0.0323624183571044,0.10815116518098,0.3525542559396024,0.2381549670458607
16,0.0002553586662073,4.909965839497191e-05,0.0005139093965199,0.0004406765434171,Dominica,0.1958466145214924,0.1126110062013964,0.0828356528160887,0.3317984810532773
17,0.0069933556725723,0.0003857830302462,0.0586358087053744,0.0053510723129223,Dominican Republic,0.0533199328401367,0.1723137448618089,0.3766472538610507,0.2688598922718014
18,0.0159223208987291,0.0015008128916063,0.0827352347145379,0.0302251647290888,Ecuador,0.0531916602559766,0.1313574484247886,0.3549422928378972,0.3762891525712308
19,0.0056795604596702,0.0038589993419476,0.0245339510273591,0.0079216854828555,El Salvador,0.0590023499258475,0.1052449200942589,0.4371517667276592,0.4020576050766338
20,0.0003592151827766,0.0001311662302837,0.0002381531349726,0.0007029840097368,Grenada,0.2336029135275627,0.1970394057954881,0.4884620574200055,0.2553654308651833
21,0.0122213789701448,0.0040682574098691,0.03310997076148,0.0240976623158601,Guatemala,0.0219760075002644,0.0749960465441469,0.7686538147774139,0.1834493107873943
22,0.0008544693830783,3.857830302462079e-05,0.0037227095308884,0.0005036303353338,Guyana,0.1745519039966611,0.0775340293914698,0.0684587858688543,0.351066079242377
