,Neoplasms,Mental and behavioural disorders,External causes of morbidity and mortality,Diseases of the musculoskeletal system and connective tissue,Country,Obesity,Population,Max Latitude,Max Longitude,Annual Average Temperature
0,0.0561193609446096,0.0039816315839865,0.2131449667379455,0.0187980022663365,Egypt,0.6604215456674474,0.0718439512497406,0.54304053459949,0.5928181197359434,0.8801977642873688
1,0.0020764222706835,0.0006125766904515,0.0052251633438037,0.0031371972971838,Mauritius,0.2014051522248244,0.0008635621689886,0.1739206893519739,0.6684782608695652,0.8878578098501406
2,0.0088402520723509,0.0014577922385364,0.0244294978979852,0.008845007764301,Morocco,0.531615925058548,0.0255988065585086,0.5805855974676866,0.4848907352606419,0.7990405479009548
3,0.0693997703188125,0.0135129274139876,0.1501367500369764,0.1015234817643849,South Africa,0.5644028103044496,0.0424821244057216,0.0700782555174536,0.5958911905303892,0.7584388085333563
4,0.0048773962058955,0.000729480639011,0.0074704878128266,0.0031476895958366,Tunisia,0.5714285714285714,0.0084445113172282,0.5930713092411852,0.5207147735033006,0.8136812111515149
5,0.0002258942047218,8.066372450602528e-05,2.506875104975395e-05,0.000692491711084,Antigua and Barbuda,0.3793911007025761,3.137632983938885e-05,0.4205574606524224,0.3123435010243569,0.9525211287561764
6,0.0906764462488166,0.0191682728294999,0.1274858800259712,0.0761961220464179,Argentina,0.5995316159250585,0.0323197590297868,0.0730677921392772,0.3351354427498293,0.6966971100861754
7,0.0006139571509528,8.066372450602528e-05,0.0018801563287315,0.0017941830696268,Bahamas,0.6838407494145199,0.0002417403594443,0.5040886309680823,0.2809298884589119,0.9195140067723566
8,0.0007893734797965,0.0003577260825919,0.000401100016796,0.0010702144625844,Barbados,0.5128805620608899,0.0001661519284676,0.3819572672118174,0.318717277486911,0.9511119808361042
9,0.0004022241602782,8.241728373441714e-05,0.0038919236004743,0.0007239686070424,Belize,0.4566744730679157,0.0002602809179858,0.4272399542776752,0.2380491691327111,0.9216776823175794
10,0.3000587895948972,0.0903519054349931,0.9930375722084482,0.3604387879296595,Brazil,0.4543325526932085,0.1510042921393023,0.3109997362173569,0.4056453448668336,0.9211729874951422
11,0.1100203448680456,0.1379076133813403,0.057765087418913,0.1185955009023376,Canada,0.6651053864168618,0.0271947207898848,0.9743251560713972,0.3380946961074436,0.2936131039473067
12,0.0378799913397323,0.0139716585081349,0.0555795101398919,0.0435913039828765,Chile,0.6065573770491803,0.0138455186400357,0.1107007825551745,0.2988276804006373,0.5819793805326424
13,0.0600057462552097,0.0039168667964846,0.1821524698151346,0.1396168212532001,Colombia,0.449648711943794,0.0352199302447139,0.3840675283566341,0.2975187798770771,0.9134995629255795
14,0.0070692552117321,0.0023774756018536,0.0197587717648985,0.0157185126117429,Costa Rica,0.5339578454332552,0.0036061386363133,0.3632286995515695,0.2529023446391987,0.9328881616583782
15,0.0346244652742706,0.0354562661743919,0.0285194646317525,0.0480253493935451,Cuba,0.5573770491803278,0.0080059557978822,0.4692693220786072,0.2768893694514,0.9264686562915424
16,0.0002553586662073,4.909965839497191e-05,0.0005139093965199,0.0004406765434171,Dominica,0.5925058548009368,1.2835771297931802e-05,0.4020926756352765,0.3135385841110858,0.9443069021651264
17,0.0069933556725723,0.0003857830302462,0.0586358087053744,0.0053510723129223,Dominican Republic,0.5620608899297423,0.007449025943233,0.4399894486942759,0.2933928977919417,0.9319463118188696
18,0.0159223208987291,0.0015008128916063,0.0827352347145379,0.0302251647290888,Ecuador,0.3840749414519906,0.0124485588637775,0.2792578914974061,0.2737593899385385,0.8445494812894592
19,0.0056795604596702,0.0038589993419476,0.0245339510273591,0.0079216854828555,El Salvador,0.4637002341920374,0.004583083451767,0.3917172250065945,0.2383052583655816,0.9249025065327436
20,0.0003592151827766,0.0001311662302837,0.0002381531349726,0.0007029840097368,Grenada,0.405152224824356,4.2072805920998685e-05,0.3748351358480612,0.3130548600045526,0.95747152246166
21,0.0122213789701448,0.0040682574098691,0.03310997076148,0.0240976623158601,Guatemala,0.3723653395784543,0.0128443284787969,0.4213488085817286,0.2367971773275665,0.881739090346821
22,0.0008544693830783,3.857830302462079e-05,0.0037227095308884,0.0005036303353338,Guyana,0.3817330210772833,0.000522701131188,0.3399278994108854,0.327111313453221,0.9420954974161592
23,0.0007605942383456,0.0001683416859256,0.0027826313665226,0.0020774751332521,Honduras,0.3864168618266979,0.0069954953573728,0.4178317066737009,0.2512804461643524,0.9122699838436404
24,0.0052816760262774,0.0002454982919748,0.0024818063539256,0.0072711629663826,Jamaica,0.5035128805620609,0.0019645861069889,0.4275916644684779,0.2710277714545868,0.9445415989589524
25,0.1212761802875123,0.0328595956689892,0.4117922569313007,0.3042714147815503,Mexico,0.5971896955503513,0.0910897641141784,0.552272927108063,0.2411222399271568,0.8148933814053406
26,0.0045314286104534,0.0022532067045349,0.0208016318085683,0.011162756536702,Nicaragua,0.4426229508196722,0.0046650897683927,0.3968170227732348,0.2524186205326656,0.9395202803981916
27,0.0049560137845257,0.0008899897603831,0.0135513311924619,0.0088240231669954,Panama,0.4590163934426229,0.0030156931566085,0.3493361470148597,0.2682676986114272,0.943466120244388
28,0.0065210106620922,0.0023906857480408,0.0324807451101311,0.0162137491081546,Paraguay,0.3770491803278688,0.0051350216175781,0.0950496790644508,0.3334566355565672,0.8821430396361942
29,0.0287995239639376,0.0025531822365385,0.0605711162864154,0.0469320518739245,Peru,0.3793911007025761,0.0233682347462902,0.2643981359359888,0.2923969952196676,0.8092769388316646
