,Neoplasms,Mental and behavioural disorders,External causes of morbidity and mortality,Diseases of the musculoskeletal system and connective tissue,Country,"Fish, Seafood",Alcoholic Beverages,Eggs,Milk - Excluding Butter
0,40949.88333333333,567.6500000000001,8502.416666666668,298.6,Egypt,0.158427734502682,0.0035111844376557,0.1640490683319594,0.1380279835932864
1,1515.15,87.33333333333333,208.4333333333333,49.83333333333334,Mauritius,0.1821112403509543,0.1215677617907954,0.2609842015264957,0.1560950232081863
2,6450.666666666666,207.83333333333331,974.5,140.5,Morocco,0.1467526602278054,0.0119633294174164,0.2802445183423463,0.1298475713690144
3,50640.5,1926.5,5989.0,1612.6666666666663,South Africa,0.0417297670520755,0.2837286030031186,0.3184006352816848,0.1738317438844282
4,3559.0,104.0,298.0,50.0,Tunisia,0.0733010297146091,0.0311085144601555,0.2615232254940444,0.2705407191577998
5,164.83333333333334,11.5,1.0,11.0,Antigua and Barbuda,0.3468606801363571,0.226478029017947,0.1183206907609108,0.3788169086984538
6,66165.93333333333,2732.766666666667,5085.449999999999,1210.35,Argentina,0.0376072992398332,0.1853131484151227,0.5483267338812601,0.373834395057139
7,448.0,11.5,75.0,28.5,Bahamas,0.2436619611963237,0.2321224673681369,0.3967753906268843,0.2247360774280612
8,576.0,51.0,16.0,17.0,Barbados,0.3011884726837051,0.1498551106170361,0.4029450008129299,0.2396546040195009
9,293.5,11.75,155.25,11.5,Belize,0.081764287214458,0.1715408680612804,0.2023308393903698,0.1611102436746508
10,218950.68333333332,12881.216666666667,39612.566666666666,5725.45,Brazil,0.0453634624884623,0.1871300108970696,0.2694332120708018,0.3660494291848697
11,80281.03333333333,19661.1,2304.2666666666664,1883.85,Canada,0.101048960124422,0.2068337535765502,0.4470921440827238,0.2943461720147744
12,27640.75,1991.9,2217.083333333333,692.4333333333334,Chile,0.0818892218926721,0.2107962495739747,0.4327529242027765,0.2843646411500384
13,43785.75,558.4166666666667,7266.116666666667,2217.766666666667,Colombia,0.0483815433266958,0.1309986560720065,0.5051383051379869,0.3386175133634073
14,5158.383333333334,338.95,788.1833333333334,249.6833333333333,Costa Rica,0.1406334115740091,0.1150972957713735,0.4022615004452235,0.4837188858038811
15,25265.216666666664,5054.9,1137.65,762.8666666666667,Cuba,0.0323624183571044,0.10815116518098,0.3525542559396024,0.2381549670458607
16,186.33333333333331,7.0,20.5,7.0,Dominica,0.1958466145214924,0.1126110062013964,0.0828356528160887,0.3317984810532773
17,5103.0,55.0,2339.0,85.0,Dominican Republic,0.0533199328401367,0.1723137448618089,0.3766472538610507,0.2688598922718014
18,11618.4,213.96666666666667,3300.333333333333,480.1166666666667,Ecuador,0.0531916602559766,0.1313574484247886,0.3549422928378972,0.3762891525712308
19,4144.333333333333,550.1666666666667,978.6666666666666,125.83333333333334,El Salvador,0.0590023499258475,0.1052449200942589,0.4371517667276592,0.4020576050766338
20,262.1166666666667,18.7,9.5,11.166666666666668,Grenada,0.2336029135275627,0.1970394057954881,0.4884620574200055,0.2553654308651833
21,8917.85,580.0000000000001,1320.7666666666669,382.7833333333333,Guatemala,0.0219760075002644,0.0749960465441469,0.7686538147774139,0.1834493107873943
22,623.5,5.5,148.5,8.0,Guyana,0.1745519039966611,0.0775340293914698,0.0684587858688543,0.351066079242377
23,555.0,24.0,111.0,33.0,Honduras,0.0232696908694891,0.0903870086757346,0.2223306874086017,0.3268215106350781
24,3854.0,35.0,99.0,115.5,Jamaica,0.1832987413959941,0.1401822720650268,0.0771274911318877,0.2791702496091565
25,88494.33333333333,4684.7,16426.516666666666,4833.25,Mexico,0.0856505991445498,0.172947900122785,0.7302668041758591,0.2897938853373241
26,3306.55,321.2333333333333,829.7833333333333,177.31666666666666,Nicaragua,0.0567614648340175,0.0803196544202334,0.2831069968761824,0.341730947934713
27,3616.3666666666654,126.88333333333333,540.5666666666666,140.16666666666666,Panama,0.1156285100697146,0.2608849859310804,0.2602115924117862,0.296228895120348
28,4758.333333333333,340.83333333333337,1295.6666666666663,257.55,Paraguay,0.0278097993343475,0.2027494878977055,0.5100713446536506,0.2261538669297405
29,21014.8,364.0,2416.2,745.5,Peru,0.2106802401309953,0.1841265815877722,0.4676660483913541,0.2259904848444039
30,111.66666666666669,9.0,13.0,5.5,Saint Kitts and Nevis,0.2289902450518816,0.1965355751132818,0.1942253162636544,0.2148188049775709
31,288.1666666666667,7.666666666666667,38.0,14.5,Saint Lucia,0.2698422024126781,0.3344315187571807,0.1625956579981163,0.2187834199132692
32,259.1333333333333,6.5,16.2,12.25,Saint Vincent and the Grenadines,0.1209129326500973,0.172688152835181,0.1985473025462182,0.1894072450187693
33,493.5,15.0,78.5,20.0,Suriname,0.1280808362201358,0.1840218032906748,0.2874665358518318,0.0782142741165975
34,620646.1166666666,142567.18333333335,39890.3,13745.366666666669,United States of America,0.0924468947287251,0.2436360218695238,0.4539310926964541,0.4945472470667111
35,8610.95,1001.6833333333332,558.05,323.68333333333334,Uruguay,0.0556303079639332,0.1644729252357377,0.427819004063369,0.5071568177013944
36,26559.5,31.5,6940.0,562.5,Venezuela (Bolivarian Republic of),0.0902226732239076,0.1109205398153498,0.1878439618578705,0.3365481102397815
37,2373.9500000000003,287.76666666666665,131.65,95.2,Cyprus,0.1612349811878078,0.183453108195185,0.3418554872187008,0.4060318826576938
38,45631.00000000001,2066.25,15249.416666666668,1112.1666666666667,Iran (Islamic Republic of),0.0798327418879999,1.51804960986125e-05,0.3287225538388786,0.140007840941416
39,10758.5,34.5,1919.0,69.5,Iraq,0.0296858347324788,0.0105967653632807,0.6027451698496381,0.085787237194952
