,"Fish, Seafood",Alcoholic Beverages,Eggs,Milk - Excluding Butter,Country,Obesity,Population,Max Latitude,Max Longitude,Annual Average Temperature
0,0.0006383454755164,3.0360992197225e-05,0.1327915629926195,0.3531242906258783,Afghanistan,0.0374707259953161,0.0277209874131,0.6029191945836629,0.7009162303664921,0.6897746830182847
1,0.0229349212827217,0.0952019599740188,0.4601127598577228,0.9177735457898416,Albania,0.4543325526932085,0.0019852659607467,0.6396729095225534,0.5476895060323241,0.6716819136299681
2,0.0241929089086152,0.0116702209315405,0.3137647329423159,0.4022507049371642,Algeria,0.5550351288056207,0.0315923986562373,0.5907851930009672,0.5218814022308217,0.8886632905360936
3,0.1847758495580285,0.2512785433060988,0.0227809172649092,0.0449968705968861,Angola,0.0913348946135831,0.0231528790278472,0.2260617251384859,0.556282722513089,0.8568033619670946
4,0.3468606801363571,0.226478029017947,0.1183206907609108,0.3788169086984538,Antigua and Barbuda,0.3793911007025761,3.137632983938885e-05,0.4205574606524224,0.3123435010243569,0.9525211287561764
5,0.0376072992398332,0.1853131484151227,0.5483267338812601,0.373834395057139,Argentina,0.5995316159250585,0.0323197590297868,0.0730677921392772,0.3351354427498293,0.6966971100861754
6,0.0313196976403475,0.023402258302468,0.438624631458695,0.5406081068458234,Armenia,0.4215456674473067,0.0020694115725887,0.6277147630352589,0.6204188481675392,0.5646741994236066
7,0.1157813780442129,0.2480824385340868,0.2551231332079678,0.4721079744870681,Australia,0.6440281030444964,0.0183266290198248,0.1834168645036489,0.9658547689506032,0.8487654803571196
8,0.074344103208951,0.334281534355721,0.4512429994712584,0.4249900025628239,Austria,0.4449648711943793,0.0063180518722042,0.6955948298601952,0.536620760300478,0.5338845913978789
9,0.0214191858995955,0.2237814830720023,0.4335013473259199,0.4205957789396617,Azerbaijan,0.3981264637002341,0.0071694913683003,0.6258682845335444,0.6318859549282949,0.639296979939066
10,0.2436619611963237,0.2321224673681369,0.3967753906268843,0.2247360774280612,Bahamas,0.6838407494145199,0.0002417403594443,0.5040886309680823,0.2809298884589119,0.9195140067723566
11,0.2424622312479548,6.722791129383333e-05,0.2289739843213961,0.108578325508539,Bangladesh,0.0117096018735363,0.1210520198155785,0.4987250505583399,0.7514227179603915,0.9160098192238276
12,0.3011884726837051,0.1498551106170361,0.4029450008129299,0.2396546040195009,Barbados,0.5128805620608899,0.0001661519284676,0.3819572672118174,0.318717277486911,0.9511119808361042
13,0.087012900120468,0.2946107475477228,0.497804611039281,0.2042933138241705,Belarus,0.5550351288056207,0.0066467902371123,0.7584630264661918,0.5809241975870703,0.533823499306629
14,0.1107268533949922,0.2657500904149418,0.3965376113306491,0.4585292822927154,Belgium,0.5058548009367682,0.0081728208247553,0.7174887892376682,0.5059469610744366,0.5960207287561119
15,0.081764287214458,0.1715408680612804,0.2023308393903698,0.1611102436746508,Belize,0.4566744730679157,0.0002602809179858,0.4272399542776752,0.2380491691327111,0.9216776823175794
16,0.1185487606857409,0.2417693602557507,0.0330971693408915,0.0478083976476468,Benin,0.1241217798594847,0.0086677111181311,0.3736920777279521,0.4987480081948554,0.9670442824169708
17,0.0333514456054142,0.3549602112182617,0.1906241883887412,0.5300096424774904,Bosnia and Herzegovina,0.3864168618266979,0.0023011685543569,0.6627978545678361,0.5436489870248121,0.6156959283813708
18,0.0404161074227809,0.1934509643063724,0.0656675033753448,0.4885957957315722,Botswana,0.3091334894613583,0.0016137416915122,0.1083267387672557,0.5713350785340314,0.8495683819574261
19,0.0453634624884623,0.1871300108970696,0.2694332120708018,0.3660494291848697,Brazil,0.4543325526932085,0.1510042921393023,0.3109997362173569,0.4056453448668336,0.9211729874951422
20,0.0513080842763028,0.3913432140208639,0.3656245423835245,0.4773941556107721,Bulgaria,0.5737704918032787,0.0049011253405936,0.6535654620592631,0.5692010015934441,0.6265994965302433
21,0.0590200713561388,0.4961285402205246,0.1092245799902398,0.1037142486023759,Burkina Faso,0.0374707259953161,0.0148673886550322,0.3972566605117384,0.4946221261097199,0.9881468447546796
22,0.0892069045200286,0.1672939668246922,0.2432400249451165,0.3001945962498577,Cabo Verde,0.1803278688524589,0.0003579753995312,0.4134353292886661,0.4233155019348964,0.9070458846739288
23,0.4859758531403603,0.1907606904100154,0.0929805007453181,0.0150987680830016,Cambodia,0.0140515222482435,0.01101237867522,0.3939154136991119,0.7940188936945141,0.9602056756325894
24,0.125433464191698,0.210463094497202,0.0020586034728178,0.0365114797726668,Cameroon,0.1545667447306791,0.0189284840740167,0.3796711509715994,0.5339460505349419,0.9081872912653304
25,0.101048960124422,0.2068337535765502,0.4470921440827238,0.2943461720147744,Canada,0.6651053864168618,0.0271947207898848,0.9743251560713972,0.3380946961074436,0.2936131039473067
26,0.0826645223242373,0.072724511767038,0.0199152584647335,0.0821473659825451,Central African Republic,0.0796252927400468,0.0034057579843845,0.3613822210498549,0.5659002959253358,0.9241073421893762
27,0.0996294242026239,0.0272743875042379,0.007547945373989,0.2390141171796943,Chad,0.0444964871194379,0.0119964544747281,0.4707640903895191,0.5560550876394263,0.9501482087686012
28,0.0818892218926721,0.2107962495739747,0.4327529242027765,0.2843646411500384,Chile,0.6065573770491803,0.0138455186400357,0.1107007825551745,0.2988276804006373,0.5819793805326424
29,0.261325703726288,0.1328867498796826,0.7525892281903945,0.1260648670411202,China,0.0866510538641686,1.0,0.735689791611712,0.871300933302982,0.5360787485115854
30,0.0483815433266958,0.1309986560720065,0.5051383051379869,0.3386175133634073,Colombia,0.449648711943794,0.0352199302447139,0.3840675283566341,0.2975187798770771,0.9134995629255795
