Country,Obesity,Undernourished,Population,Annual Average Temperature,Max Latitude,Min Latitude,Max Longitude,Min Longitude,HDI Rank,hdi_2016,hdi_2017,hdi_2018,hdi_2019,gdp_2016,gdp_2017,gdp_2018,gdp_2019,code,"Population,Total Population - Both sexes",WHO code,FAO code,Winter Average Temperature,Spring Average Temperature,Summer Average Temperature,Autumn Average Temperature
Afghanistan,0.0374707259953161,0.4781085814360771,0.0277209874131,0.6897746830182847,0.6029191945836629,0.7232033856921949,0.7009162303664921,0.6940147754819348,0.8936170212765957,0.2167832167832168,0.2112676056338028,0.20884955752212397,0.2078152753108348,0.5962732919254657,0.7038461538461538,0.7197231833910034,0.8761261261261262,0.4765308553728854,0.02442934466196693,0.4765308553728855,0.0028571428571428,0.5757784546359542,0.7103541568494403,0.7165805430136573,0.6128196720202603
Albania,0.4543325526932085,0.0647985989492119,0.0019852659607467,0.6716819136299681,0.6396729095225534,0.8066248880931065,0.5476895060323241,0.5750606025626227,0.3617021276595745,0.7167832167832167,0.7112676056338028,0.7097345132743363,0.7122557726465365,0.6304347826086956,0.75,0.820069204152249,0.8378378378378379,0.7136049559208959,0.0019617271793110668,0.7136049559208959,0.0057142857142857,0.5983104123736099,0.6203794819833541,0.6598669465522956,0.6444932779397589
Algeria,0.5550351288056207,0.0245183887915936,0.0315923986562373,0.8886632905360936,0.5907851930009672,0.6384796939855131,0.5218814022308217,0.4944014775481936,0.4787234042553192,0.6381118881118881,0.6320422535211268,0.6283185840707964,0.6287744227353463,0.6273291925465837,0.6538461538461539,0.7266435986159169,0.8063063063063064,0.0,0.028021725195423102,0.0,0.0085714285714285,0.7574932815860946,0.8726192622334951,0.9135154941559077,0.8164471848035978
Angola,0.0913348946135831,0.3940455341506129,0.0231528790278472,0.8568033619670946,0.2260617251384859,0.3372670301945145,0.556282722513089,0.5531282465658549,0.7819148936170213,0.3496503496503496,0.3450704225352112,0.3380530973451329,0.3321492007104795,0.4472049689440993,0.5961538461538461,0.6366782006920415,0.7680180180180181,0.0023826542768644,0.0199208518084611,0.0023826542768644,0.0171428571428571,0.8896585964183558,0.7159990118501173,0.634922441387312,0.900424685562704
Antigua and Barbuda,0.3793911007025761,0.2029453525329182,3.137632983938885e-05,0.9525211287561764,0.4205574606524224,0.6222837144949946,0.3123435010243569,0.3408461272076648,0.4095744680851064,0.6765734265734267,0.6725352112676057,0.6743362831858407,0.6820603907637656,0.6987577639751552,0.7230769230769231,0.9204152249134948,0.8648648648648649,0.2382654276864427,2.966824823202928e-05,0.23826542768644274,0.02,0.9291014253594311,0.8420875354184445,0.7995368834516102,0.961074596842664
Argentina,0.5995316159250585,0.0367775831873905,0.0323197590297868,0.6966971100861754,0.0730677921392772,0.0359729795719052,0.3351354427498293,0.3070818423179038,0.2393617021276596,0.8059440559440563,0.8045774647887323,0.7982300884955754,0.8010657193605685,0.4627329192546583,0.7115384615384615,0.588235294117647,0.7409909909909911,0.2406480819633071,0.030064198484791933,0.2406480819633071,0.0228571428571428,0.8391315242123136,0.496665233637898,0.36220071915440005,0.7918783147719997
Armenia,0.4215456674473067,0.031523642732048995,0.0020694115725887,0.5646741994236066,0.6277147630352589,0.8002767152274761,0.6204188481675392,0.6448112663049753,0.425531914893617,0.6783216783216783,0.6742957746478873,0.6725663716814158,0.6785079928952041,0.5341614906832297,0.8923076923076922,0.8581314878892733,0.9594594594594597,0.7140814867762688,0.0019952207890149,0.7140814867762688,0.0,0.47869973704844676,0.5407164694847739,0.5846157901192436,0.5290085100659057
Australia,0.6440281030444964,0.0,0.0183266290198248,0.8487654803571196,0.1834168645036489,0.0384145845202246,0.9658547689506032,0.7308091885028283,0.0372340425531914,0.9807692307692308,0.977112676056338,0.9769911504424781,0.9769094138543518,0.6149068322981365,0.6961538461538461,0.7750865051903113,0.8288288288288289,0.9554443650226352,0.016748099891931267,0.9554443650226352,0.0257142857142857,0.960245597875519,0.6482403293293021,0.525720857941172,0.9344684030166172
Austria,0.4449648711943793,0.0,0.0063180518722042,0.5338845913978789,0.6955948298601952,0.8614796125986814,0.536620760300478,0.5469236984878219,0.0904255319148936,0.9423076923076924,0.938380281690141,0.9380530973451328,0.937833037300178,0.5931677018633539,0.7,0.7612456747404843,0.8243243243243243,0.7147962830593281,0.006016970316690734,0.7147962830593281,0.0285714285714285,0.4821391211151056,0.5084049121365485,0.49733429776868743,0.5111322152079417
Azerbaijan,0.3981264637002341,0.0,0.0071694913683003,0.639296979939066,0.6258682845335444,0.7964515341417758,0.6318859549282949,0.6486494286044097,0.4627659574468085,0.6520979020979021,0.647887323943662,0.6424778761061948,0.6429840142095914,0.4316770186335401,0.6115384615384615,0.7301038062283737,0.8378378378378379,0.7152728139147009,0.0066991116436569,0.7152728139147009,0.1457142857142857,0.5437187837633585,0.6192555705330823,0.661288529726388,0.5933237213899638
Bahamas,0.6838407494145199,0.04572298963279701,0.0002417403594443,0.9195140067723566,0.5040886309680823,0.6542687393179784,0.2809298884589119,0.2871407133787373,0.3031914893617021,0.7552447552447554,0.75,0.7451327433628321,0.7460035523978689,0.5714285714285713,0.7230769230769231,0.7820069204152249,0.8153153153153154,0.2430307362401716,0.0002257727145767333,0.2430307362401716,0.0314285714285714,0.8762096788124575,0.8211440247017435,0.8029062809843008,0.9199029352589893
Bangladesh,0.0117096018735363,0.2136602451838879,0.1210520198155785,0.9160098192238276,0.4987250505583399,0.6528037763489867,0.7514227179603915,0.7734618492439109,0.702127659574468,0.3986013986013985,0.4049295774647888,0.4141592920353984,0.4227353463587923,0.7484472049689439,0.8846153846153846,0.9515570934256056,0.972972972972973,0.4801048367881821,0.10925604634494106,0.4801048367881821,0.0428571428571428,0.8569312547696432,0.8610170952608094,0.8008224134587646,0.8938562718816355
Barbados,0.5128805620608899,0.0245183887915936,0.0001661519284676,0.9511119808361042,0.3819572672118174,0.5902173028404004,0.31871727748691103,0.3473104005540807,0.3031914893617021,0.7569930069930069,0.7464788732394367,0.7415929203539825,0.7460035523978689,0.6055900621118011,0.6230769230769231,0.657439446366782,0.7860360360360361,0.2454133905170361,0.00016200437278716668,0.2454133905170361,0.0371428571428571,0.9339044662216875,0.8419442146419202,0.7868334114291652,0.9601583610164467
Belarus,0.5550351288056207,0.0,0.0066467902371123,0.533823499306629,0.7584630264661918,0.9010336127614552,0.5809241975870703,0.5863153641925432,0.2765957446808511,0.763986013986014,0.762323943661972,0.7646017699115043,0.7619893428063943,0.4503105590062111,0.7,0.7854671280276816,0.8153153153153154,0.7167024064808196,0.006498987199580432,0.7167024064808197,0.16,0.44578854228433534,0.5433817595121967,0.527281353515642,0.49831962393093604
Belgium,0.5058548009367682,0.0,0.0081728208247553,0.5960207287561119,0.7174887892376682,0.8868723040612028,0.5059469610744366,0.5267228442802725,0.0691489361702127,0.9545454545454548,0.9559859154929576,0.9539823008849558,0.9538188277087036,0.5745341614906831,0.6769230769230768,0.7301038062283737,0.8198198198198199,0.7171789373361925,0.007819573729392633,0.7171789373361926,0.7257142857142856,0.5581109233481053,0.5423183596973346,0.5330896186910955,0.5875971422791543
Belize,0.4566744730679157,0.0875656742556917,0.0002602809179858,0.9216776823175794,0.4272399542776752,0.613249776186213,0.2380491691327111,0.2619185039824542,0.5797872340425532,0.5926573426573429,0.5774647887323945,0.5716814159292037,0.5719360568383659,0.5310559006211178,0.6769230769230768,0.7508650519031141,0.7432432432432433,0.2466047176554682,0.00021912472515346666,0.2466047176554682,0.0628571428571428,0.8990969427784726,0.8416285722303294,0.7673765232903501,0.9093203917307863
Benin,0.1241217798594847,0.1330998248686515,0.0086677111181311,0.9670442824169708,0.3736920777279521,0.534548710018719,0.4987480081948554,0.5216437723652315,0.8351063829787233,0.2709790209790209,0.2640845070422535,0.2654867256637169,0.2682060390763766,0.6304347826086956,0.823076923076923,0.9100346020761244,0.9436936936936936,0.0035739814152966,0.007487194833133967,0.0035739814152966,0.1485714285714285,0.9869883807680764,0.8740682651667234,0.7370370348634835,0.9648501542380615
Bosnia and Herzegovina,0.3864168618266979,0.0,0.0023011685543569,0.6156959283813708,0.6627978545678361,0.8303898429234149,0.5436489870248121,0.5648158836430799,0.3829787234042553,0.688811188811189,0.6830985915492958,0.6831858407079646,0.685612788632327,0.6242236024844721,0.7269230769230769,0.8062283737024221,0.8490990990990992,0.7183702644746247,0.0023091342242371328,0.7183702644746247,0.2257142857142857,0.5481881586953676,0.5793820707671361,0.5955099812594488,0.5883333397259367
Botswana,0.3091334894613583,0.4185639229422067,0.0016137416915122,0.8495683819574261,0.1083267387672557,0.2651582973874826,0.5713350785340314,0.5771095463465313,0.526595744680851,0.5979020979020979,0.5985915492957745,0.6,0.6056838365896979,0.6614906832298135,0.7153846153846154,0.8339100346020759,0.8558558558558559,0.0047653085537288,0.0014599318331844668,0.0047653085537288,0.054285714285714194,0.9271907793266454,0.6462336109593849,0.56617514544755,0.944683791867731
Brazil,0.4543325526932085,0.0,0.1510042921393023,0.9211729874951422,0.3109997362173569,0.2094083177341904,0.4056453448668336,0.3058409327022972,0.4414893617021277,0.6643356643356644,0.6602112676056335,0.6566371681415929,0.6589698046181173,0.4254658385093167,0.6538461538461539,0.7231833910034602,0.8130630630630631,0.2525613533476292,0.14259236293366484,0.2525613533476292,0.0571428571428571,0.9351677390779374,0.7870299612821151,0.7226187013367955,0.9486695582579561
Bulgaria,0.5737704918032787,0.0192644483362521,0.0049011253405936,0.6265994965302433,0.6535654620592631,0.8196467811508097,0.5692010015934441,0.5839489784139444,0.2925531914893617,0.7569930069930069,0.7482394366197183,0.7469026548672565,0.7495559502664298,0.6459627329192545,0.7384615384615385,0.7854671280276816,0.8648648648648649,0.719561591613057,0.004912170608967333,0.719561591613057,0.0742857142857142,0.5414326289664495,0.5977376878189973,0.6296421079122599,0.5918841284504496
