Country,Obesity,Undernourished,Population,Annual Average Temperature,Max Latitude,Min Latitude,Max Longitude,Min Longitude,HDI Rank,hdi_2016,hdi_2017,hdi_2018,hdi_2019,gdp_2016,gdp_2017,gdp_2018,gdp_2019,Winter Average Temperature,Spring Average Temperature,Summer Average Temperature,Autumn Average Temperature
Central African Republic,6.3,59.6,4830000.0,26.163810606060604,11.0,2.24,27.44,14.39,188.0,0.382,0.391,0.395,0.397,4.7,4.5,3.8,3.0,27.01457575757576,27.191151515151518,25.10799999999999,25.34151515151515
Chad,4.8,37.5,16877000.0,27.38768181818181,23.44,7.46,23.98,13.45,187.0,0.39299999999999996,0.396,0.397,0.39799999999999996,-5.6,-2.4,2.3,3.0,24.30454545454545,30.814424242424238,29.168060606060607,25.26369696969697
Chile,28.8,2.7,19470000.0,10.084446969696966,-17.51,-55.92,-66.42,-109.45,43.0,0.845,0.847,0.8490000000000001,0.851,1.7,1.2,4.0,1.1,13.85387878787879,8.111727272727274,6.736999999999999,11.635181818181815
China,6.6,8.5,1402385000.0,7.927204545454543,53.57,15.78,134.77,73.6,85.0,0.746,0.75,0.755,0.7609999999999999,6.8,6.9,6.7,6.1,-2.549757575757576,14.264303030303031,18.545393939393936,1.4488787878787877
Colombia,22.1,4.8,49444000.0,25.66526515151516,13.58,-4.24,-66.88,-81.72,83.0,0.76,0.763,0.764,0.767,2.1,1.4,2.5,3.3,25.99936363636364,25.524545454545457,25.66330303030303,25.473848484848485
Congo,8.4,40.3,5518000.0,25.29262878787879,3.7,-5.03,18.65,11.21,149.0,0.578,0.574,0.573,0.574,-10.7,-4.4,-6.4,-0.6,25.94190909090909,25.65767272727273,24.4894,25.08153333333334
Costa Rica,25.7,4.8,5111000.0,26.57649242424243,11.21,5.52,-82.56,-87.12,62.0,0.8009999999999999,0.804,0.8079999999999999,0.81,4.2,3.9,2.7,2.1,26.583606060606062,27.28830303030303,26.637363636363634,25.796696969696978
Cote d'Ivoire,9.0,19,26175000.0,26.85981136363636,10.74,4.36,-2.49,-8.6,,,,,,,,,,27.931242424242427,27.49506060606061,25.50554242424242,26.5074
Croatia,27.1,<2.5,4020000.0,12.446416666666664,46.55,42.42,19.41,13.5,43.0,0.841,0.845,0.848,0.851,3.5,3.1,2.7,2.9,4.454545454545454,16.346484848484852,20.990606060606062,7.994030303030303
Cuba,26.7,<2.5,11281000.0,26.27478787878788,23.27,19.83,-74.13,-84.95,70.0,0.773,0.777,0.7809999999999999,0.7829999999999999,,,,,24.01487878787879,26.959606060606063,28.39166666666667,25.732999999999993
Cyprus,22.6,5.6,1207000.0,20.40670454545455,35.02,34.63,34.1,32.27,33.0,0.873,0.878,0.885,0.887,6.7,4.4,4.1,3.2,13.742575757575757,21.615393939393943,27.628666666666664,18.64018181818182
Czechia,28.5,<2.5,10716000.0,9.171454545454548,51.04,48.56,18.84,12.08,27.0,0.893,0.8959999999999999,0.898,0.9,,,,,1.1025454545454543,13.337848484848484,17.422121212121212,4.8233030303030295
Denmark,21.3,<2.5,5829000.0,-17.267477272727273,83.63,54.57,15.15,-73.06,10.0,0.935,0.9359999999999999,0.9390000000000001,0.94,3.2,2.0,2.4,2.3,-28.318727272727276,-12.158212121212122,-5.009363636363637,-23.583606060606062
Djibouti,12.2,18.9,988000.0,29.591742424242426,12.71,10.93,43.42,41.75,166.0,0.505,0.51,0.518,0.524,6.7,5.4,8.4,7.5,26.424000000000003,31.301363636363636,33.15909090909091,27.482515151515155
Dominica,28.2,6.2,72000.0,27.113151515151515,15.63,15.2,-61.25,-61.49,94.0,0.74,0.736,0.738,0.742,2.5,-9.5,0.5,8.4,25.787272727272725,27.4190303030303,28.192696969696968,27.05360606060606
Dominican Republic,26.9,9.5,10500000.0,26.53222727272727,19.94,17.55,-68.33,-72.01,88.0,0.743,0.746,0.7509999999999999,0.7559999999999999,6.7,4.7,7.0,5.1,24.837606060606067,26.877121212121214,28.14572727272727,26.268454545454546
Ecuador,19.3,7.9,17511000.0,22.424742424242424,1.66,-5.01,-75.23,-92.01,86.0,0.758,0.76,0.762,0.759,-1.2,2.4,1.3,0.1,22.89048484848485,22.547363636363638,21.827272727272728,22.433848484848486
Egypt,31.1,4.5,100803000.0,24.10014393939394,31.66,21.99,36.9,24.69,116.0,0.696,0.698,0.701,0.7070000000000001,4.3,4.1,5.3,5.6,16.95021212121212,27.679484848484844,31.03048484848485,20.74039393939394
El Salvador,22.7,9,6481000.0,26.201181818181826,14.45,13.16,-87.69,-90.11,124.0,0.6709999999999999,0.6709999999999999,0.67,0.6729999999999999,2.5,2.3,2.4,2.4,26.065515151515154,27.088939393939395,26.445969696969698,25.204303030303027
Estonia,23.8,2.9,1331000.0,6.727454545454546,59.67,57.52,28.19,21.83,29.0,0.8809999999999999,0.885,0.889,0.892,3.2,5.5,4.4,5.0,-3.0106363636363636,10.984939393939394,16.241818181818186,2.6936969696969695
Eswatini,13.5,20.6,1104000.0,20.031984848484854,-25.74,-27.32,32.12,30.78,138.0,0.588,0.597,0.605,0.611,1.3,2.0,2.4,1.1,23.269151515151517,17.778757575757577,17.449242424242428,21.630787878787885
Ethiopia,3.6,20.6,114916000.0,23.98640909090909,14.88,3.4,47.98,32.99,173.0,0.467,0.474,0.478,0.485,8.0,10.2,7.7,9.0,24.063606060606062,25.118333333333336,23.778272727272725,22.985424242424244
Fiji,30.0,3.7,896000.0,25.98387878787879,-12.48,-21.71,180.0,-180.0,93.0,0.738,0.74,0.742,0.743,2.5,5.4,3.5,-1.3,27.411151515151516,25.890242424242427,24.521666666666672,26.112454545454543
Finland,24.9,<2.5,5529000.0,3.022295454545455,70.08,59.81,31.57,19.51,11.0,0.932,0.935,0.937,0.938,2.8,3.3,1.5,1.1,-7.495151515151515,7.597848484848484,13.459393939393939,-1.4729090909090903
France,23.2,<2.5,64940000.0,14.21839393939394,51.09,-49.72,171.34,-178.19,26.0,0.894,0.897,0.898,0.9009999999999999,1.1,2.3,1.8,1.5,9.038212121212121,16.19872727272727,20.00039393939394,11.636242424242424
French Polynesia,,4.2,280000.0,26.83239621212121,-7.83,-27.65,-134.88,-154.69,,,,,,,,,,27.677393939393937,27.049790909090913,25.815866666666665,26.786533333333338
Gabon,13.4,10.5,2231000.0,25.47625,2.32,-3.94,14.5,8.7,119.0,0.69,0.6940000000000001,0.6970000000000001,0.703,2.1,0.5,1.0,3.8,26.316757575757574,25.811606060606064,24.263787878787884,25.51284848484848
Gambia,8.7,10.2,2417000.0,28.54125757575757,13.82,13.07,-13.82,-16.83,172.0,0.475,0.48,0.48700000000000004,0.496,1.9,4.8,7.2,6.1,27.39245454545454,30.50484848484848,28.43487878787879,27.832848484848487
Georgia,23.3,7.9,3715000.0,9.6605,43.58,41.04,46.69,39.99,61.0,0.792,0.799,0.805,0.812,2.9,4.8,4.8,5.1,1.2604242424242424,13.116818181818182,18.905454545454546,5.359303030303032
Germany,25.7,<2.5,83300000.0,9.583030303030306,54.91,47.27,15.02,5.85,6.0,0.941,0.943,0.946,0.9470000000000001,2.2,2.6,1.3,0.6,2.296969696969697,13.03221212121212,17.194030303030303,5.808909090909091
Ghana,9.7,5.5,31073000.0,27.77841666666667,11.16,4.74,1.19,-3.26,138.0,0.598,0.602,0.606,0.611,3.4,8.1,6.3,6.5,29.212848484848482,28.44393939393939,25.942606060606057,27.514272727272726
Greece,27.4,<2.5,10700000.0,16.033166666666666,41.75,34.82,28.24,19.63,32.0,0.8740000000000001,0.879,0.8809999999999999,0.888,-0.2,1.5,1.9,1.9,8.499454545454547,18.664575757575758,24.60978787878788,12.358848484848485
Grenada,20.2,,113000.0,27.73186363636363,12.53,12.0,-61.42,-61.79,74.0,0.7709999999999999,0.77,0.773,0.779,3.7,4.4,4.1,3.0,26.853636363636358,28.01090909090909,28.39815151515151,27.664757575757573
Guatemala,18.8,15.2,18066000.0,24.172583333333336,17.82,13.73,-88.22,-92.25,127.0,0.653,0.655,0.657,0.6629999999999999,2.7,3.0,3.2,3.8,22.817636363636364,25.719484848484854,25.159878787878785,22.993333333333336
Guinea,6.6,16.5,12560000.0,26.68597727272728,12.67,7.19,-7.66,-15.08,178.0,0.465,0.47100000000000003,0.473,0.47700000000000004,10.8,10.3,6.2,5.6,27.270636363636367,28.44512121212121,25.299515151515156,25.728636363636365
Guinea-Bissau,8.2,28,1927000.0,28.53490151515152,12.68,10.93,-13.66,-16.73,175.0,0.46799999999999997,0.47,0.47200000000000003,0.48,5.3,4.8,3.4,4.5,28.052575757575756,30.46363636363637,27.766969696969696,27.856424242424243
Guyana,19.2,8.1,787000.0,27.00921969696969,8.56,1.19,-56.48,-61.4,122.0,0.6759999999999999,0.677,0.68,0.682,3.8,3.7,4.4,5.4,26.544969696969698,26.825636363636367,27.277333333333335,27.388939393939392
Haiti,20.5,49.3,11403000.0,27.39697727272727,20.09,18.03,-71.64,-74.49,170.0,0.5,0.505,0.508,0.51,1.5,1.2,1.5,-1.2,25.87309090909091,27.62572727272727,28.96975757575758,27.119333333333334
Honduras,19.4,12.9,9864000.0,25.60747727272727,17.42,12.98,-83.13,-89.36,132.0,0.626,0.63,0.633,0.634,3.9,4.8,3.7,2.7,24.63809090909091,27.185090909090906,26.384848484848487,24.221878787878783
Hungary,28.6,<2.5,9767000.0,11.430492424242425,48.57,45.74,22.88,16.09,40.0,0.8440000000000001,0.846,0.85,0.8540000000000001,2.2,4.3,5.1,4.9,2.7416666666666667,16.22160606060606,20.430636363636363,6.328060606060607
Iceland,23.1,<2.5,368000.0,2.4499621212121223,66.54,63.4,-13.5,-24.54,4.0,0.941,0.943,0.946,0.9490000000000001,6.6,4.5,3.9,1.9,-1.5636969696969698,3.6678181818181823,7.629030303030304,0.06669696969696955
India,3.8,14.5,1400100000.0,24.846000000000004,35.5,6.75,97.36,68.14,131.0,0.63,0.64,0.642,0.645,8.3,7.0,6.1,4.2,20.85666666666667,29.62390909090909,27.091939393939388,21.81148484848485
Indonesia,6.9,8.3,271739000.0,26.39763636363636,5.91,-10.92,140.98,95.01,107.0,0.703,0.7070000000000001,0.7120000000000001,0.718,5.0,5.1,5.2,5.0,26.36860606060606,26.618484848484844,26.163363636363638,26.440090909090912
Iran (Islamic Republic of),25.5,4.9,84150000.0,19.170560606060604,39.77,25.06,63.32,44.01,70.0,0.784,0.787,0.785,0.7829999999999999,12.5,3.7,-5.4,-6.5,9.943999999999999,24.27633333333333,28.86951515151515,13.592393939393942
Iraq,27.4,29,39725000.0,23.62672727272728,37.38,29.06,48.56,38.77,123.0,0.6559999999999999,0.667,0.6709999999999999,0.674,15.2,-2.5,-0.1,4.4,13.418030303030305,28.38669696969697,34.83054545454545,17.871636363636362
Ireland,26.9,<2.5,5003000.0,10.34990909090909,55.39,51.45,-5.99,-10.48,2.0,0.943,0.9470000000000001,0.951,0.955,1.7,9.4,9.3,5.9,6.40930303030303,11.630060606060608,14.875818181818182,8.484454545454545
Israel,26.7,<2.5,9216000.0,21.076893939393933,33.41,29.49,35.89,34.2,19.0,0.9129999999999999,0.9129999999999999,0.9159999999999999,0.919,3.8,3.6,3.5,3.4,13.925000000000002,23.389060606060607,28.36724242424243,18.626272727272724
Italy,22.9,<2.5,60296000.0,14.182454545454547,47.09,35.49,18.52,6.6,29.0,0.884,0.8859999999999999,0.89,0.892,1.3,1.7,0.8,0.3,6.936424242424242,16.61890909090909,22.36887878787879,10.80560606060606
Jamaica,24.4,8,2809000.0,27.12418181818182,18.53,17.7,-76.19,-78.37,101.0,0.731,0.7340000000000001,0.7340000000000001,0.7340000000000001,1.5,0.7,1.9,0.9,25.701666666666664,27.503484848484845,28.451181818181823,26.840393939393937
Japan,4.4,<2.5,125967000.0,13.16026515151515,45.47,24.21,153.99,122.94,19.0,0.912,0.915,0.917,0.919,0.5,2.2,0.3,0.7,3.4559393939393934,15.653727272727272,23.62727272727273,9.904121212121211
Jordan,33.4,12.2,10679000.0,21.078340909090905,33.37,29.19,39.29,34.95,102.0,0.7290000000000001,0.726,0.728,0.7290000000000001,2.0,2.1,1.9,2.0,12.846424242424243,24.523818181818182,29.654606060606067,17.288515151515153
Kazakhstan,21.3,<2.5,18732000.0,6.778075757575759,55.43,40.58,87.32,46.48,51.0,0.8079999999999999,0.815,0.8190000000000001,0.825,1.1,4.1,4.1,4.5,-8.03669696969697,16.213333333333335,20.55978787878788,-1.6241212121212119
Kenya,6.0,29.4,53528000.0,24.86986363636364,5.03,-4.68,41.89,33.89,143.0,0.591,0.595,0.599,0.601,5.9,4.8,6.3,5.4,25.999818181818185,24.865696969696966,23.73957575757576,24.874363636363636
Kiribati,45.6,2.7,125000.0,27.425802525252525,4.72,-11.46,176.85,-174.54,134.0,0.622,0.627,0.628,0.63,5.1,0.9,2.3,2.3,27.209500000000002,27.814567676767684,27.543454545454548,27.13568787878788
"Korea, North",7.1,47.8,25779000.0,7.866272727272729,43.01,37.68,130.7,124.21,,,,,,,,,,-4.365121212121212,13.637787878787877,20.47657575757576,1.7158484848484852
"Korea, South",4.9,<2.5,51781000.0,13.072189393939395,38.62,33.2,131.86,124.61,,,,,,,,,,2.5252424242424243,17.477696969696968,24.207545454545453,8.078272727272727
Kuwait,37.0,2.8,4691000.0,26.92784090909091,30.1,28.53,48.43,46.53,64.0,0.804,0.805,0.807,0.8059999999999999,2.9,-4.7,1.2,0.4,17.129848484848484,31.898575757575756,37.14487878787878,21.538060606060608
Kyrgyzstan,15.4,7.1,6594000.0,3.983727272727272,43.26,39.19,80.26,69.23,120.0,0.691,0.6940000000000001,0.696,0.6970000000000001,,,,,-6.4110000000000005,10.183454545454545,14.692575757575755,-2.530121212121211
Lao People's Democratic Republic,4.5,16.5,7242000.0,24.79862121212121,22.5,13.92,107.66,100.1,137.0,0.605,0.608,0.609,0.613,7.0,6.8,6.3,5.2,22.092030303030302,27.51360606060606,26.771787878787887,22.817060606060608
Latvia,25.7,<2.5,1902000.0,7.1863787878787875,58.08,55.67,28.22,20.97,37.0,0.8540000000000001,0.8590000000000001,0.863,0.866,1.8,3.8,4.3,2.2,-2.448121212121212,11.937727272727273,16.557848484848485,2.6980606060606065
Lebanon,31.3,11,6825000.0,19.21775,34.69,33.06,36.6,35.1,92.0,0.741,0.748,0.747,0.7440000000000001,1.5,0.9,-1.9,-6.9,11.82751515151515,21.433969696969697,26.980393939393938,16.629121212121213
Lesotho,13.5,13.1,2142000.0,14.529621212121212,-28.57,-30.66,29.44,27.0,165.0,0.512,0.517,0.522,0.527,3.4,-1.0,0.4,1.0,19.08812121212121,10.86118181818182,10.622030303030302,17.547151515151512
Liberia,8.6,37.2,5058000.0,26.45103787878788,8.57,4.35,-7.38,-11.48,175.0,0.478,0.48100000000000004,0.48,0.48,-1.6,2.5,1.2,-2.5,27.12772727272727,26.974090909090908,25.38942424242424,26.31290909090909
Lithuania,28.4,<2.5,2794000.0,7.736833333333334,56.44,53.89,26.8,20.92,34.0,0.867,0.873,0.8759999999999999,0.882,2.6,4.2,3.6,3.9,-1.6810000000000003,12.463030303030303,16.759393939393938,3.405909090909091
Luxembourg,24.2,<2.5,632000.0,10.592636363636364,50.17,49.44,6.5,5.71,23.0,0.91,0.9129999999999999,0.9129999999999999,0.9159999999999999,4.6,1.8,3.1,2.3,3.9333030303030303,13.607363636363639,17.697545454545452,7.1323333333333325
Madagascar,4.5,44.4,27691000.0,23.759924242424244,-11.94,-25.6,50.5,43.22,164.0,0.523,0.526,0.527,0.528,4.0,3.9,4.6,4.8,25.741606060606063,22.738,21.18872727272727,25.371363636363636
Malawi,4.7,17.5,19130000.0,22.529613636363635,-9.38,-17.14,35.9,32.66,174.0,0.47200000000000003,0.473,0.478,0.483,2.3,4.0,3.2,4.5,23.68042424242424,20.899545454545457,20.58969696969697,24.948787878787883
Malaysia,15.3,2.5,32781000.0,27.05954545454545,7.36,0.85,119.28,99.65,62.0,0.8,0.805,0.805,0.81,4.4,5.8,4.8,4.3,26.75209090909091,27.613242424242426,27.172515151515153,26.700333333333333
Maldives,7.9,10.3,541000.0,28.528571416666665,6.8874,-0.6,73.6517,72.89,95.0,0.728,0.731,0.7340000000000001,0.74,6.3,6.8,6.9,5.7,28.87619033333333,28.866666666666664,28.204762,28.166666666666668
Mali,7.1,6.3,20251000.0,29.73062121212121,25.0,10.14,4.24,-12.26,184.0,0.42200000000000004,0.42700000000000005,0.431,0.434,5.9,5.0,5.2,5.1,25.427303030303033,34.054818181818185,32.13084848484848,27.309515151515154
Malta,31.0,<2.5,522000.0,19.601227272727265,36.08,35.8,14.57,14.18,28.0,0.885,0.888,0.894,0.895,3.9,8.0,5.2,4.9,13.579,19.980969696969694,26.352545454545453,18.49239393939394
Mauritania,11.3,10.4,4650000.0,28.97132575757576,27.29,14.73,-4.82,-17.08,157.0,0.542,0.54,0.542,0.546,1.3,3.5,2.1,5.9,23.407363636363637,32.44557575757576,33.59966666666666,26.432696969696973
Mauritius,11.5,6.5,1265000.0,24.46015151515151,-10.32,-20.52,63.49,56.52,66.0,0.794,0.797,0.8009999999999999,0.804,3.8,3.8,3.8,3.0,26.90536363636363,24.164666666666673,21.91418181818182,24.85639393939394
Mexico,28.4,3.6,127792000.0,21.03096212121212,32.71,14.55,-86.7,-118.37,74.0,0.768,0.7709999999999999,0.7759999999999999,0.779,2.6,2.1,2.2,-0.3,17.081696969696967,23.592757575757574,24.837424242424238,18.611969696969695
Mongolia,19.6,13.4,3361000.0,0.828545454545455,52.13,41.59,119.91,87.74,99.0,0.7290000000000001,0.728,0.735,0.737,1.2,5.3,7.2,5.1,-14.444848484848483,10.679424242424242,15.63427272727273,-8.554666666666668
Montenegro,24.9,<2.5,622000.0,12.29443181818182,43.55,41.85,20.36,18.43,48.0,0.818,0.8220000000000001,0.826,0.8290000000000001,2.9,4.7,5.1,3.6,4.194151515151516,15.790969696969697,21.314242424242423,7.878363636363637
Morocco,25.6,3.4,35952000.0,20.28590909090909,35.93,21.42,-1.03,-17.01,121.0,0.667,0.6729999999999999,0.68,0.6859999999999999,1.0,4.2,3.0,2.2,14.535090909090911,22.14030303030303,26.981030303030305,17.48721212121212
Mozambique,6.0,27.9,31166000.0,24.483007575757572,-10.47,-26.86,40.85,30.21,181.0,0.441,0.446,0.452,0.456,3.8,3.7,3.4,2.3,26.230181818181816,22.803333333333338,22.30690909090909,26.591606060606058
Myanmar,5.7,10.6,54704000.0,24.54241666666667,28.54,9.79,101.17,92.17,147.0,0.563,0.5720000000000001,0.579,0.583,6.4,5.8,6.4,6.5,22.018333333333334,27.202454545454543,26.137969696969694,22.810909090909092
Namibia,15.0,27.3,2541000.0,21.506060606060604,-16.95,-28.96,25.26,11.72,130.0,0.639,0.644,0.645,0.6459999999999999,-0.3,-0.3,0.7,-1.0,24.5390303030303,18.86730303030303,18.22933333333333,24.38857575757576
Nepal,3.8,8.7,29996000.0,15.081272727272728,30.42,26.34,88.17,80.03,142.0,0.586,0.588,0.596,0.602,0.6,8.2,6.7,7.1,9.352181818181817,19.111272727272723,20.079303030303027,11.782333333333334
Netherlands,23.1,<2.5,17467000.0,10.93109090909091,53.56,12.02,7.2,-70.06,8.0,0.9359999999999999,0.9390000000000001,0.9420000000000001,0.9440000000000001,2.2,2.9,2.4,1.7,4.772969696969697,13.317363636363636,17.436060606060604,8.197969696969698
New Caledonia,,7.1,295000.0,23.48893863636364,-19.1,-22.71,172.06,158.2,,,,,,,,,,26.045787878787877,23.227999999999994,20.990366666666663,23.691599999999998
New Zealand,32.0,<2.5,4987000.0,11.293984848484847,-8.54,-52.6,178.84,-177.96,14.0,0.924,0.9259999999999999,0.9279999999999999,0.9309999999999999,4.2,3.8,3.2,2.2,15.480939393939392,9.454757575757576,7.522909090909091,12.717333333333334
Nicaragua,21.8,17,6596000.0,26.888189393939395,15.03,10.71,-82.73,-87.69,128.0,0.657,0.6609999999999999,0.659,0.66,4.6,4.6,-4.0,-3.9,26.330424242424243,27.99990909090909,27.171878787878786,26.05054545454546
Niger,4.7,16.5,24189000.0,28.2117196969697,23.52,11.7,15.97,0.15,189.0,0.37799999999999995,0.386,0.391,0.39399999999999996,5.7,5.0,7.2,5.9,23.086545454545455,33.011848484848485,31.77509090909091,24.97339393939394
Nigeria,7.8,13.4,206140000.0,27.774356060606063,13.88,4.27,14.67,2.67,161.0,0.526,0.531,0.534,0.539,-1.6,0.8,1.9,2.2,28.05663636363637,29.77930303030303,26.49248484848485,26.769000000000002
North Macedonia,23.9,3.2,2080000.0,11.936772727272727,42.37,40.85,23.01,20.44,82.0,0.765,0.767,0.77,0.774,2.8,1.1,2.7,3.6,3.611969696969697,15.673575757575756,21.140030303030304,7.321515151515151
